route_id,stop_id,stop_sequence
1189_3,000000310127,9
1189_3,000000310131,10
1189_3,000000320134,11
1189_3,000000320051,12
1189_3,000000320144,13
1189_3,000000320052,14
1189_3,000000320053,15
1189_3,000000320054,16
1189_3,000000320017,17
1189_3,000000320018,18
1189_3,000000320000,19
1189_3,000000320038,20
1189_3,000000320432,21
1189_3,000000320382,22
1189_3,000000320085,23
1189_3,000000320084,24
1189_3,000000320073,25
1189_3,000000640002,26
1189_3,000000640023,27
1189_3,000000640028,28
1189_3,000000640029,29
1189_3,000000640030,30
1189_3,000000640031,31
1189_3,000000640033,32
1189_3,000000640034,33
1189_3,000000640035,34
1189_3,000000640038,35
1189_3,000000640066,36
1189_3,000000640108,37
1190_3,000000290131,0
1190_3,000000290075,1
1190_3,000000290076,2
1190_3,000000290077,3
1190_3,000000290078,4
1190_3,000000290079,5
1190_3,000000290080,6
1190_3,000000290523,7
1190_3,000000290203,8
1190_3,000000290184,9
1190_3,000000290185,10
1190_3,000000290186,11
1190_3,000000297004,12
1190_3,000000290131,13
1191_3,000000280131,0
1191_3,000000280132,1
1191_3,000000280013,2
1191_3,000000280042,3
1191_3,000000280044,4
1191_3,000000280230,5
1191_3,000000280238,6
1191_3,000000280851,7
1191_3,000000280821,8
1191_3,000000280831,9
1191_3,000000270381,10
1191_3,000000270351,11
1191_3,000000270361,12
1191_3,000000270371,13
1194_3,000000360328,0
1194_3,000000360023,1
1194_3,000000360345,2
1194_3,000000360346,3
1194_3,000000360041,4
1194_3,000000360040,5
1194_3,000000370137,6
1194_3,000000370454,7
1194_3,000000371962,8
1194_3,000000370164,9
1194_3,000000370000,10
1194_3,000000370260,11
1194_3,000000370262,12
1194_3,000000370279,13
1194_3,000000370407,14
1194_3,000000370170,15
1194_3,000000370409,16
1194_3,000000370172,17
1194_3,000000370173,18
