,0
000000710209,3
000000830009,1
780005022101,1
780008010101,4
900000756731,1
780006366302,1
000000640063,1
780003030301,1
000000305572,1
090000719015,1
780007220502,2
000000910113,1
000011547602,1
000000800350,1
780006361101,1
000000370505,1
900000750266,4
780008640101,2
900000700266,1
000000800235,1
780004242201,1
900000753476,2
000000800149,2
780004590701,2
000000640046,3
780005880101,1
000000250005,2
780003400102,1
090000109007,1
900000751191,2
780004770302,1
900000753071,2
900000852496,5
800000375076,7
000000810001,3
900000857446,1
900000805226,1
000000700045,4
000000810009,1
000000540053,3
000000620130,1
780008350602,1
000000970073,2
000000640047,1
780043005301,5
000000977182,1
900000754491,1
780015009301,2
900000752271,1
000000290010,6
000000240234,1
900000751736,3
000000900041,2
720000043303,1
780005001202,6
780003070102,1
000000972262,1
780003260102,3
000000290076,2
000000710177,2
780005710301,4
000000810461,1
000000720102,2
780005580102,1
000000700015,4
780050047101,1
000000610086,1
000000360358G,2
780006366701,1
780004311302,1
900000806326,2
000000360064,1
780005580101,1
900000855326,1
780043965202,4
000000710031,1
900000808121,4
000000710110,2
000000510067,3
720000050100,1
000000210072,2
000000620082,1
000000990220,1
000347533501,2
780009070101,2
000000280020,1
900000803381,1
900000751181,2
780015130401,1
780005410102,2
780005900302,1
780005020901,1
900000803786,1
780015007001,2
000000971272,1
780005390801,1
000000490026,4
000000800078,1
780005890202,1
000011544701,1
000000370555,2
000000630145,1
000000210115,1
000000971731,1
780004070101,5
000000970000,1
000347532301,2
000000710036,1
900000804011,1
900000752071,2
090000349002,1
720000043004,1
000000240196,1
900000805866,2
900000753256,5
800000375014,6
000000360961G,1
000000430066,1
000000978072,2
000000810004,1
900000806921,1
780015009202,1
900000755631,3
000008001352,1
000000610052,1
800000375447,2
900000653501,2
780005370701,1
000000610703,1
000000370478,1
900000852466,2
900000853636,1
780004051301,3
780011010303,16
780005700101,4
000000340055,3
000000988082,1
000008005717,1
780009090302,3
900000750446,1
900000852671,1
780008740201,1
000000100088G,2
000000828400,1
900000857931,1
000000820191,1
900000800106,2
000000350020,4
780005590101,2
900000754006,2
900000805996,3
780003000102,3
780008130202,1
780003490702,2
000000519304,2
780005910102,1
900000805436,2
000000868000,1
900000857291,3
780006330202,2
900000855601,1
780045952401,4
780003270502,1
780005390601,2
780009405102,1
000000550016,1
000000610132,2
780004080802,1
000000810113,2
780008911901,3
000000620072,1
000000920070,1
000000220105,3
000000240209,3
000000971142,2
000000860032,2
780005720302,1
000000370560,2
900000853741,2
000000100030,1
780007070301,2
000000650082,4
780005220102,1
780008550201,1
780015003801,3
000000800118,2
900000755521,1
900000850876,1
780003502101,1
780003505802,5
000000440016,3
780009250602,1
000000971822,1
000000920050,1
000000500039,1
900000800931,2
000000610185,2
900000653611,1
780009510102,2
780007220602,2
000000800123,3
000000100172,1
780004820102,5
900000857631,4
780003270401,1
800000375053,1
780081464401,1
000000977752,1
000011718302,1
000000800158,3
000000240056,3
780003510601,1
800000377991,1
000019758002,1
000000658002,1
000000370415,1
000000600042,2
780003341502,1
780003430602,1
780005150301,5
900000753841,1
000000340032,12
780003470402,1
000000300230,4
000000000930,1
780006363202,3
000000971512,1
780002910602,4
000000977142,1
900000754321,3
780041952902,1
000000297014,1
900000850231,2
000000260002,3
000000989100,1
780009190202,4
000000700036,1
000000290006,5
900000801806,2
780008350101,2
000000971662,1
000000971542,3
000000830071,1
000000330223,2
000000800003G,1
000000920110,2
780006030202,2
000000600044,2
000000910083,1
900000800371,8
900000855496,1
780003630102,1
000000800091,6
000000220025,2
780005005502,1
780002770301,5
780005580301,1
000000980082,1
780005030502,1
900000600836,3
780009680701,3
000000270121,1
000000977761,1
780003150101,4
000000650010,1
000000830137,1
000000800095G,8
000000700114,1
000000800169,1
000000710105,2
000000210018,1
800000600012,1
000000290033,2
000000820105G,1
780004570401,1
780051951301,2
780015490501,2
780051959902,1
780004731403,7
780005990402,1
000000430020,3
780015140101,2
000011666502,1
900000857381,3
000000900175,2
000000860044G,1
000000840093,1
780009611001,1
000000988161,1
000000810026,4
000000800841,2
780002980102,2
000000210025,1
000000200059,2
800000375465,1
780051956601,2
780009440401,1
780015002301,2
000000920021G,1
000000360090,4
000011717402,1
000000260672,1
780003660102,1
000000710173,1
780007500502,3
780004502001,2
000000800224,1
780008950101,2
780084480501,1
900000753131,2
900000802481,3
780009400802,2
900000750221,2
000000370513,1
900000855191,3
780003150402,1
720000044205,1
780003650701,1
900000855896,5
780007110201,3
900000756771,1
000000972142,1
780007030202,4
780050048301,2
000000810821,1
900000806356,2
900000754461,1
000000100009G,6
000000900101,2
000000860282,1
000000250122,1
000000370390,3
000008003954,1
000000970062,4
780005130802,2
900000651631,3
000000530068,1
780004260701,1
780001581001,1
000000210033,1
000000259031,2
000000210129,1
780007160701,2
780081430101,1
900000850442,3
000000710253,1
900000600026,1
000000280093,2
780008960801,3
900000752196,2
780005008101,1
780003508401,11
000000260741,1
900000803626,2
780003341902,1
000000240019,2
000000700122,1
000000000918,1
780008500602,3
000000290005,4
900000805726,1
000000280106,2
900000750881,3
000000630056,2
780003210501,3
900000803376,2
780009310102,1
090000109015,1
780008140302,1
780009380101,1
000000710219,1
780005040701,2
000000800280,5
780004280101,3
000000810053,1
780007530802,2
780005131001,2
780006010302,1
780081464001,1
780004020801,1
000000920140,1
720000022103,1
000000230220,2
000000840113,1
780041015302,2
780051958701,1
780007520701,2
720000042030,1
000008006559,1
000000800195,2
780051954802,2
090000639001,1
780002710101,1
800000377731,1
780006271101,1
000000300722,1
780050044201,6
000000971132,1
090000109010,1
000000850049,4
780003570201,4
900000751301,1
000000320032,2
900000802161,2
000000998271,1
720000075332,2
